ticker,date,compound,Interpretation
RCI,2020-08-06,0.5194,Positive
RCI,2020-08-07,0.4019,Positive
RCI,2020-08-11,0.148,Positive
RCI,2020-08-12,0.5719,Positive
RCI,2020-08-13,0.38155,Positive
RCI,2020-08-20,0.5362,Positive
RCI,2020-08-21,0.0,Neutral
RCI,2020-09-01,0.08802857142857143,Positive
RCI,2020-09-02,0.37000000000000005,Positive
RCI,2020-09-03,0.07543333333333334,Positive
RCI,2020-09-04,0.5267,Positive
RCI,2020-09-08,-0.5423,Negative
RCI,2020-09-18,0.7184,Positive
RCI,2020-09-22,0.4767,Positive
RCI,2020-09-23,0.0,Neutral
RCI,2020-09-24,0.0,Neutral
RCI,2020-09-25,0.6124,Positive
RCI,2020-09-29,0.03645000000000004,Neutral
RCI,2020-10-01,0.3787333333333333,Positive
RCI,2020-10-05,0.802,Positive
RCI,2020-10-09,0.34,Positive
RCI,2020-10-13,0.0387,Neutral
RCI,2020-10-15,0.0,Neutral
RCI,2020-10-17,0.0,Neutral
RCI,2020-10-18,-0.17020000000000002,Negative
RCI,2020-10-19,0.0,Neutral
RCI,2020-10-21,0.2732,Positive
RCI,2020-10-22,0.059199999999999996,Positive
RCI,2020-10-23,0.5106,Positive
RCI,2020-10-25,0.0,Neutral
RCI,2020-10-28,0.0,Neutral
RCI,2020-11-10,0.7096,Positive
RCI,2020-11-12,0.17,Positive
RCI,2020-11-16,0.6486,Positive
RCI,2020-11-18,0.0,Neutral
RCI,2020-11-20,0.1027,Positive
RCI,2020-11-21,0.0,Neutral
RCI,2020-11-24,0.0,Neutral
RCI,2020-11-30,0.296,Positive
RCI,2020-12-03,-0.891,Negative
RCI,2020-12-05,0.4019,Positive
RCI,2020-12-10,0.37895,Positive
RCI,2020-12-15,0.575,Positive
RCI,2020-12-16,0.05151666666666666,Positive
RCI,2020-12-23,0.0,Neutral
RCI,2020-12-28,0.0,Neutral
RCI,2021-01-19,0.0,Neutral
RCI,2021-01-20,0.3612,Positive
TRP,2020-08-04,0.3612,Positive
TRP,2020-08-05,0.011700000000000007,Neutral
TRP,2020-08-12,-0.0129,Neutral
TRP,2020-08-17,0.2023,Positive
TRP,2020-08-19,0.2023,Positive
TRP,2020-08-29,0.0,Neutral
TRP,2020-09-04,0.0,Neutral
TRP,2020-09-05,0.2023,Positive
TRP,2020-09-08,0.1366,Positive
TRP,2020-09-21,0.1366,Positive
TRP,2020-09-24,0.2732,Positive
TRP,2020-09-26,0.0258,Neutral
TRP,2020-09-27,0.2023,Positive
TRP,2020-09-29,0.7464,Positive
TRP,2020-10-05,0.5419400000000001,Positive
TRP,2020-10-06,0.42955,Positive
TRP,2020-10-07,0.33725,Positive
TRP,2020-10-08,0.2732,Positive
TRP,2020-10-14,0.3612,Positive
TRP,2020-10-16,0.2023,Positive
TRP,2020-10-20,0.0,Neutral
TRP,2020-10-21,0.5563,Positive
TRP,2020-10-22,0.37495,Positive
TRP,2020-10-24,0.6705,Positive
TRP,2020-10-26,0.6369,Positive
TRP,2020-10-28,0.7351,Positive
TRP,2020-10-29,0.3824666666666667,Positive
TRP,2020-10-30,0.2732,Positive
TRP,2020-11-02,0.35233333333333333,Positive
TRP,2020-11-05,-0.0258,Neutral
TRP,2020-11-07,0.7269,Positive
TRP,2020-11-10,0.0,Neutral
TRP,2020-11-12,0.2732,Positive
TRP,2020-11-13,0.5563,Positive
TRP,2020-11-17,0.7575,Positive
