trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2002-08-15,CAG,0,11.009738147830529,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-15,11.009738147830529,11.047703218466191,10.672275907810846,2733700.0,10.81569766998291,10.293926572799682,56.44105043375206,0.21935558319091797,1457870585.0,0.35996396076526266,0.0,0.0,10.810744285583496,yes,down
2002-08-16,CAG,0,10.798829571935755,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-16,10.798829571935755,10.967561817091395,10.714463966297712,1926400.0,10.87475872039795,10.379347467422486,57.50207647276676,0.08014774322509766,1459796985.0,0.3523306671958641,0.0,0.0,10.811256408691406,no,up
2002-08-19,CAG,0,10.874753823998416,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-19,10.874753823998416,10.921155351452674,10.714459142071473,1236100.0,10.90850067138672,10.466664600372315,58.12957074267945,0.1687364578247088,1461033085.0,0.3419282059233882,0.0,0.0,10.848040580749512,no,up
2002-08-20,CAG,0,10.908498556580222,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-20,10.908498556580222,10.967554752651342,10.756640357470996,1305100.0,10.88318920135498,10.537048864364625,57.44436444747437,0.03374290466308416,1459727985.0,0.33257007658459947,0.0,0.0,10.849371910095215,yes,down
2002-08-21,CAG,0,10.908500092602528,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-21,10.908500092602528,10.967556296989333,10.756641872110196,1564100.0,10.895845413208008,10.599292182922364,57.7127779966527,-0.14763736724853693,1461292085.0,0.3238803871770664,0.0,0.0,10.849926948547363,no,up
2002-08-22,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-08-22,10.895845397746722,11.085668690032296,10.815698061149446,1544300.0,11.051921844482422,10.64531650543213,60.981209796367565,0.23622417449951172,1462836385.0,0.320029690156051,0.0,0.0,10.956870079040527,yes,up
2002-08-23,CAG,0,11.068795329340649,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-23,11.068795329340649,11.157380157368657,11.001302668589307,1956600.0,11.064577102661133,10.68508014678955,61.24278776892949,0.1898183822631836,1464792985.0,0.30831881862914373,0.0,0.0,11.025341033935547,no,up
2002-08-26,CAG,0,11.13628477448839,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-26,11.13628477448839,11.157376935674693,10.904279272469378,1173700.0,11.043482780456545,10.71814866065979,60.51456122099794,0.13498210906982422,1463619285.0,0.30437445038458455,0.0,0.0,11.04051399230957,yes,down
2002-08-27,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-08-27,11.115196535383784,11.359857811239548,10.883190973079817,3108900.0,11.321892738342283,10.77140474319458,66.22321537531903,0.4387035369873029,1466728185.0,0.31668104951138076,0.0,0.0,11.216815948486328,yes,up
2002-08-28,CAG,0,11.30501813260903,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-28,11.30501813260903,11.36407432941616,11.170032835300988,2711200.0,11.22065258026123,10.802830982208253,62.6747381192481,0.32480716705322266,1464016985.0,0.3079210812687944,0.0,0.0,11.200185775756836,yes,down
2002-08-29,CAG,0,11.081445702546958,hold,0.0,0.0,0.0,56069.315193558374,down,2002-08-29,11.081445702546958,11.199557026528645,10.870530334705643,2267800.0,10.988642692565918,10.83024983406067,55.35453202202465,-0.0632791519165039,1461749185.0,0.3109354501464225,0.0,0.0,11.005970001220703,yes,down
2002-08-30,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-08-30,11.018179573318838,11.199565437092971,10.988650944739293,1475300.0,11.089890480041504,10.861887216567993,57.677614607858004,0.025313377380371094,1463224485.0,0.3037916854593247,0.0,0.0,11.047127723693848,yes,up
2002-09-03,CAG,0,10.925372042928869,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-03,10.925372042928869,11.005519372630191,10.71023941040039,2463900.0,10.71023941040039,10.88572072982788,47.662653706720306,-0.3332433700561541,1460760585.0,0.309210212900881,0.0,0.0,10.824609756469727,yes,down
2002-09-04,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-04,10.819915521307914,10.916935756869334,10.693366668746783,2488900.0,10.798823356628418,10.909343338012695,49.85072614242193,-0.5230693817138654,1463249485.0,0.3030929897024288,0.0,0.0,10.8240327835083,yes,up
2002-09-05,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-05,10.75664191908533,10.963338118402286,10.655402415728965,2253300.0,10.832571029663086,10.92621660232544,50.69639849808387,-0.38808155059814453,1465502785.0,0.30343889777177824,0.0,0.0,10.861639022827148,yes,up
2002-09-06,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-06,10.9253705694286,10.9253705694286,10.75663948059082,1755400.0,10.75663948059082,10.93423147201538,48.706250853832415,-0.23200321197509766,1463747385.0,0.29381691141934974,0.0,0.0,10.834736824035645,no,down
2002-09-09,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-09,10.748206595090286,10.904283059123038,10.680713930389754,2127700.0,10.735550880432127,10.931278467178345,48.14100997580346,-0.3543395996093768,1461619685.0,0.2887992126560594,0.0,0.0,10.783087730407715,no,down
2002-09-10,CAG,0,10.756640931334395,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-10,10.756640931334395,10.756640931334395,10.545726524901832,2253600.0,10.71023941040039,10.929802227020264,47.42954726989014,0.0,1459366085.0,0.28323601221152395,0.0,0.0,10.73455810546875,yes,down
2002-09-11,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-11,10.777734756469728,10.82835451615563,10.693369179579358,737900.0,10.777734756469728,10.926216650009156,49.56981756912764,-0.02108860015868963,1460103985.0,0.2726466782375773,0.0,0.0,10.772509574890137,yes,up
2002-09-12,CAG,0,10.672278217981262,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-12,10.672278217981262,10.731333399052764,10.524637163664844,1536900.0,10.58791160583496,10.903438091278076,44.1284773338583,-0.24465942382812678,1458567085.0,0.271250314992385,0.0,0.0,10.633084297180176,yes,down
2002-09-13,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-13,10.545729713788244,10.731333785890545,10.486673496708692,2225700.0,10.697587966918944,10.897532606124878,47.700657303890715,-0.059051513671876776,1460792785.0,0.26935102743448985,0.0,0.0,10.669079780578613,yes,up
2002-09-16,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-16,10.655405359532107,10.925376064562707,10.57525800032852,2106700.0,10.921157836914062,10.899852561950684,54.137663472513154,0.18560695648193537,1462899485.0,0.27512010149161115,0.0,0.0,10.859848022460938,yes,up
2002-09-17,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-17,10.98865018725323,11.115199080717854,10.828355473600327,3214400.0,11.0223970413208,10.905547380447388,56.7345278829384,0.31215763092041016,1466113885.0,0.2759574947506051,0.0,0.0,11.013511657714844,yes,up
2002-09-18,CAG,0,10.99708441494668,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-18,10.99708441494668,11.051922395525018,10.853662640436616,1683300.0,10.97177505493164,10.90997667312622,55.055833706726965,0.1940402984619123,1464430585.0,0.2704076562033049,0.0,0.0,11.006242752075195,yes,down
2002-09-19,CAG,0,10.798822036169623,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-19,10.798822036169623,10.975990614867168,10.431831235720436,3979600.0,10.436049461364746,10.886986875534058,41.17189015433657,-0.15186214447021307,1460450985.0,0.28996135069926404,0.0,0.0,10.621973991394043,yes,down
2002-09-20,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-20,10.41074193091193,10.533071529901465,10.33481282213673,4416500.0,10.406523704528809,10.854716968536376,40.564732548023116,-0.29106426239013494,1456034485.0,0.28341116191822624,0.0,0.0,10.473283767700195,no,down
2002-09-23,CAG,0,10.410743189610594,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-23,10.410743189610594,10.482454080672792,10.242011012248328,2252600.0,10.334814071655272,10.818228816986084,39.058215082176886,-0.5863437652587908,1453781885.0,0.2803420123829575,0.0,0.0,10.40363597869873,yes,down
2002-09-24,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-24,10.313720702291466,10.410741977293537,10.170298936868342,2524600.0,10.343249320983888,10.78321714401245,39.34358448375364,-0.6791477203369123,1456306485.0,0.2774920858145459,0.0,0.0,10.382349014282227,yes,up
2002-09-25,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-25,10.448705578930452,10.819915690084,10.275756235910372,2906600.0,10.731330871582031,10.753689050674438,50.76619549708039,-0.24044418334960938,1459213085.0,0.2965397549830518,0.0,0.0,10.640445709228516,yes,up
2002-09-26,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-09-26,10.815698154635337,10.946465243748197,10.676494612531846,2111300.0,10.925373077392578,10.738925075531006,55.29896953371889,0.48932361602783203,1461324385.0,0.2946419604282875,0.0,0.0,10.871628761291504,yes,up
2002-09-27,CAG,0,10.862095625654897,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-27,10.862095625654897,10.908497138079513,10.511977754505978,2178300.0,10.617435455322266,10.720364713668824,47.78090160470933,0.21091175079345703,1459146085.0,0.3031243434610241,0.0,0.0,10.730720520019531,yes,down
2002-09-30,CAG,0,10.402305060636614,hold,0.0,0.0,0.0,56069.315193558374,down,2002-09-30,10.402305060636614,10.604783020536788,10.258882267729888,1924800.0,10.482452392578123,10.689992809295655,44.899324632016466,0.14763832092285156,1457221285.0,0.30708354661326365,0.0,0.0,10.567015647888184,yes,down
2002-10-01,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-01,10.46979815381146,10.684930801391602,10.419178403239949,2692300.0,10.684930801391602,10.688727378845215,49.790835304545524,0.34168148040771307,1459913585.0,0.3041313217231486,0.0,0.0,10.645018577575684,yes,up
2002-10-02,CAG,0,10.676497133960254,hold,0.0,0.0,0.0,56069.315193558374,down,2002-10-02,10.676497133960254,10.714461181383918,10.018443306490523,3241100.0,10.288414001464844,10.663206911087036,41.938991937330336,-0.4429168701171875,1456672485.0,0.3321232183781661,0.0,0.0,10.455266952514648,yes,down
2002-10-03,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-03,10.419177883638822,10.58790899862393,10.389649266495102,3430500.0,10.39386749267578,10.641271734237671,44.44802161664578,-0.5315055847167987,1460102985.0,0.3297926311482319,0.0,0.0,10.45610237121582,yes,up
2002-10-04,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-04,10.474016407201267,10.56260019552049,10.187171842475998,2527800.0,10.343249320983888,10.620602226257324,43.476820487924066,-0.27418613433837713,1457575185.0,0.3330523255693934,0.0,0.0,10.442743301391602,no,down
2002-10-07,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-07,10.39808200537851,10.537286521263573,10.355899758636308,2756400.0,10.452919960021973,10.606470680236816,46.2187497120354,-0.029532432556150567,1460331585.0,0.3231226737629856,0.0,0.0,10.515033721923828,yes,up
2002-10-08,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-08,10.457144611478446,10.672278337595582,10.444489929678436,3550100.0,10.461362838745115,10.594026851654053,46.43417778302262,-0.22356796264648615,1463881685.0,0.3163130833454256,0.0,0.0,10.526141166687012,yes,up
2002-10-09,CAG,0,10.419178702757396,hold,0.0,0.0,0.0,56069.315193558374,down,2002-10-09,10.419178702757396,10.440269835318905,10.077497185865758,3651900.0,10.11967945098877,10.561124086380005,39.53264889047904,-0.16873455047607422,1460229785.0,0.3211382668835636,0.0,0.0,10.32613468170166,yes,down
2002-10-10,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-10,10.20826427550519,10.317939198704073,10.018440980814493,1987600.0,10.11967945098877,10.537712478637696,39.53264889047903,-0.27418804168700994,1460229785.0,0.31959254909827906,0.0,0.0,10.23341178894043,no,-
