date,recom_type,source,ticker,recom_type_ordinal
2020-09-08,Upgrade,Argus,VZ,5
2020-03-16,Upgrade,Raymond James,VZ,5
2020-03-02,Upgrade,Cowen,VZ,5
2020-02-03,Downgrade,Credit Suisse,VZ,1
2020-01-22,Initiated,Deutsche Bank,VZ,2
2019-11-14,Downgrade,HSBC Securities,VZ,1
2019-11-04,Downgrade,Nomura,VZ,1
2019-10-16,Initiated,Bernstein,VZ,2
2019-07-08,Downgrade,Citigroup,VZ,1
2019-05-30,Downgrade,UBS,VZ,1
2018-12-12,Downgrade,Morgan Stanley,VZ,1
2018-12-03,Downgrade,JP Morgan,VZ,1
2018-10-29,Reiterated,Morgan Stanley,VZ,3
2018-09-04,Downgrade,MoffettNathanson,VZ,1
2018-09-04,Downgrade,Barclays,VZ,1
2018-07-11,Initiated,Credit Suisse,VZ,2
2020-09-11,Initiated,Wolfe Research,ABT,2
2020-06-01,Downgrade,Goldman,ABT,1
2020-03-05,Initiated,Citigroup,ABT,2
2020-02-13,Initiated,Goldman,ABT,2
2020-02-06,Resumed,BTIG Research,ABT,4
2020-01-02,Downgrade,Guggenheim,ABT,1
2019-06-13,Reiterated,BofA/Merrill,ABT,3
2019-02-07,Reiterated,BofA/Merrill,ABT,3
2019-01-02,Downgrade,Citigroup,ABT,1
2018-11-30,Upgrade,Goldman,ABT,5
2018-10-16,Initiated,Barclays,ABT,2
2018-06-27,Initiated,Bernstein,ABT,2
2018-01-30,Reiterated,Citigroup,ABT,3
2018-01-25,Upgrade,William Blair,ABT,5
2018-01-25,Reiterated,Stifel,ABT,3
2018-01-03,Initiated,Evercore ISI,ABT,2
2018-01-02,Upgrade,Morgan Stanley,ABT,5
2018-01-02,Upgrade,JP Morgan,ABT,5
2017-10-19,Reiterated,Stifel,ABT,3
2017-10-19,Reiterated,RBC Capital Mkts,ABT,3
2021-01-13,Downgrade,RBC Capital Mkts,AJG,1
2021-01-11,Downgrade,Credit Suisse,AJG,1
2021-01-08,Downgrade,Goldman,AJG,1
2020-12-17,Initiated,Evercore ISI,AJG,2
2020-11-02,Upgrade,Piper Sandler,AJG,5
2020-08-21,Downgrade,BofA Securities,AJG,1
2020-07-07,Upgrade,Deutsche Bank,AJG,5
2020-03-26,Upgrade,RBC Capital Mkts,AJG,5
2020-03-23,Upgrade,Raymond James,AJG,5
2020-03-17,Upgrade,Keefe Bruyette,AJG,5
2018-08-07,Initiated,Credit Suisse,AJG,2
2018-06-18,Initiated,Goldman,AJG,2
2018-03-09,Upgrade,William Blair,AJG,5
2018-02-20,Reiterated,Barclays,AJG,3
2017-10-04,Downgrade,Deutsche Bank,AJG,1
2017-08-11,Reiterated,Barclays,AJG,3
2017-05-02,Downgrade,Raymond James,AJG,1
2016-12-01,Downgrade,Citigroup,AJG,1
2016-11-15,Downgrade,Goldman,AJG,1
2016-07-29,Reiterated,Compass Point,AJG,3
2020-10-16,Resumed,Jefferies,DG,4
2020-10-09,Initiated,Wolfe Research,DG,2
2020-08-28,Reiterated,Telsey Advisory Group,DG,3
2020-08-24,Reiterated,Telsey Advisory Group,DG,3
2020-08-06,Resumed,Credit Suisse,DG,4
2020-05-29,Reiterated,Telsey Advisory Group,DG,3
2020-05-22,Reiterated,Telsey Advisory Group,DG,3
2020-05-18,Initiated,Goldman,DG,2
2020-04-30,Downgrade,Loop Capital,DG,1
2020-04-02,Upgrade,Cleveland Research,DG,5
2020-04-01,Resumed,Citigroup,DG,4
2020-03-31,Upgrade,Wells Fargo,DG,5
2020-03-13,Upgrade,Evercore ISI,DG,5
2020-02-28,Upgrade,Jefferies,DG,5
2020-02-24,Resumed,Raymond James,DG,4
2019-12-06,Reiterated,Telsey Advisory Group,DG,3
2019-09-10,Downgrade,Bernstein,DG,1
2019-08-30,Reiterated,Telsey Advisory Group,DG,3
2019-08-08,Upgrade,Goldman,DG,5
2019-07-25,Downgrade,Wells Fargo,DG,1
2021-01-14,Initiated,BMO Capital Markets,FBHS,2
2020-12-09,Initiated,UBS,FBHS,2
2020-09-10,Upgrade,KeyBanc Capital Markets,FBHS,5
2020-06-26,Downgrade,RBC Capital Mkts,FBHS,1
2020-05-28,Initiated,Credit Suisse,FBHS,2
2020-04-17,Upgrade,Nomura,FBHS,5
2020-04-16,Downgrade,Robert W. Baird,FBHS,1
